User #1 placed an order #31.
User #1 placed an order #32.
User #1 placed an order #33.
User #1 placed an order #34.
User #1 placed an order #35.
INFO User #1 placed an order #36.
INFO 2021-06-25 05:01:54,595 User #1 placed an order #37.
INFO 2021-06-30 20:08:20,728 Order #3 was set as CANCELED.
INFO 2021-06-30 20:08:20,794 Order #4 was set as CANCELED.
INFO 2021-06-30 20:08:20,816 Order #8 was set as CANCELED.
INFO 2021-06-30 20:08:20,839 Order #9 was set as CANCELED.
INFO 2021-06-30 20:08:20,861 Order #10 was set as CANCELED.
INFO 2021-06-30 20:08:20,883 Order #11 was set as CANCELED.
INFO 2021-06-30 20:08:20,905 Order #12 was set as CANCELED.
INFO 2021-06-30 20:08:20,927 Order #13 was set as CANCELED.
INFO 2021-06-30 20:08:20,960 Order #14 was set as CANCELED.
INFO 2021-06-30 20:08:20,993 Order #15 was set as CANCELED.
INFO 2021-06-30 20:08:21,016 Order #16 was set as CANCELED.
INFO 2021-06-30 20:08:21,038 Order #17 was set as CANCELED.
INFO 2021-06-30 20:08:21,093 Order #18 was set as CANCELED.
INFO 2021-06-30 20:08:21,115 Order #19 was set as CANCELED.
INFO 2021-06-30 20:08:21,137 Order #20 was set as CANCELED.
INFO 2021-06-30 20:08:21,159 Order #21 was set as CANCELED.
INFO 2021-06-30 20:08:21,182 Order #22 was set as CANCELED.
INFO 2021-06-30 20:08:21,204 Order #23 was set as CANCELED.
INFO 2021-06-30 20:08:21,226 Order #24 was set as CANCELED.
INFO 2021-06-30 20:08:21,259 Order #25 was set as CANCELED.
INFO 2021-06-30 20:08:21,281 Order #26 was set as CANCELED.
INFO 2021-06-30 20:08:21,314 Order #27 was set as CANCELED.
INFO 2021-06-30 20:08:21,337 Order #28 was set as CANCELED.
INFO 2021-06-30 20:08:21,360 Order #29 was set as CANCELED.
INFO 2021-06-30 20:08:21,425 Order #30 was set as CANCELED.
INFO 2021-06-30 20:08:21,448 Order #31 was set as CANCELED.
INFO 2021-06-30 20:08:21,514 Order #32 was set as CANCELED.
INFO 2021-06-30 20:08:21,547 Order #33 was set as CANCELED.
INFO 2021-06-30 20:08:21,569 Order #34 was set as CANCELED.
INFO 2021-06-30 20:08:21,603 Order #35 was set as CANCELED.
INFO 2021-06-30 20:08:21,658 Order #36 was set as CANCELED.
INFO 2021-06-30 20:08:21,680 Order #37 was set as CANCELED.
